iter	Passed	Remaining
617	6579	4066
618	6588	4055
619	6599	4044
620	6610	4034
621	6620	4023
622	6631	4012
623	6641	4001
624	6652	3991
625	6663	3980
626	6673	3970
627	6684	3959
628	6695	3949
629	6705	3938
630	6715	3927
631	6725	3916
632	6737	3906
633	6748	3895
634	6758	3884
635	6769	3874
636	6779	3863
637	6790	3852
638	6800	3842
639	6811	3831
640	6821	3820
641	6832	3809
642	6843	3799
643	6853	3788
644	6864	3777
645	6874	3767
646	6885	3756
647	6895	3745
648	6905	3734
649	6916	3724
650	6927	3713
651	6937	3703
652	6949	3692
653	6960	3682
654	6971	3671
655	6981	3661
656	6992	3650
657	7002	3639
658	7012	3628
659	7023	3618
660	7033	3607
661	7043	3596
662	7055	3586
663	7065	3575
664	7075	3564
665	7086	3553
666	7096	3543
667	7107	3532
668	7117	3521
669	7127	3510
670	7138	3499
671	7148	3489
672	7159	3478
673	7170	3468
674	7180	3457
675	7191	3446
676	7201	3435
677	7212	3425
678	7222	3414
679	7232	3403
680	7243	3392
681	7253	3382
682	7264	3371
683	7274	3360
684	7285	3350
685	7295	3339
686	7305	3328
687	7315	3317
688	7325	3306
689	7335	3295
690	7346	3285
691	7357	3274
692	7368	3264
693	7378	3253
694	7389	3242
695	7399	3231
696	7409	3221
697	7419	3210
698	7430	3199
699	7440	3188
700	7451	3178
701	7461	3167
702	7471	3156
703	7481	3145
704	7491	3134
705	7502	3124
706	7513	3113
707	7523	3102
708	7533	3092
709	7544	3081
710	7554	3070
711	7564	3059
712	7575	3049
713	7585	3038
714	7595	3027
715	7606	3016
716	7616	3006
717	7627	2995
718	7637	2984
719	7647	2973
720	7657	2963
721	7667	2952
722	7678	2941
723	7688	2931
724	7698	2920
725	7709	2909
726	7719	2898
727	7729	2887
728	7739	2877
729	7750	2866
730	7760	2855
731	7770	2845
732	7781	2834
733	7791	2823
734	7802	2813
735	7812	2802
736	7823	2791
737	7834	2781
738	7844	2770
739	7855	2759
740	7865	2749
741	7876	2738
742	7886	2727
743	7898	2717
744	7908	2706
745	7918	2696
746	7928	2685
747	7938	2674
748	7949	2663
749	7959	2653
750	7969	2642
751	7980	2631
752	7991	2621
753	8002	2610
754	8012	2600
755	8023	2589
756	8033	2578
757	8043	2568
758	8055	2557
759	8065	2546
760	8075	2536
761	8086	2525
762	8096	2515
763	8107	2504
764	8117	2493
765	8128	2483
766	8138	2472
767	8149	2461
768	8159	2451
769	8169	2440
770	8180	2429
771	8191	2419
772	8201	2408
773	8212	2397
774	8222	2387
775	8233	2376
776	8243	2365
777	8254	2355
778	8264	2344
779	8275	2334
780	8286	2323
781	8297	2312
782	8308	2302
783	8318	2291
784	8328	2281
785	8338	2270
786	8349	2259
787	8359	2249
788	8370	2238
789	8381	2227
790	8392	2217
791	8403	2206
792	8413	2196
793	8423	2185
794	8433	2174
795	8444	2164
796	8454	2153
797	8464	2142
798	8475	2132
799	8485	2121
800	8495	2110
801	8505	2099
802	8515	2089
803	8525	2078
804	8536	2067
805	8547	2057
806	8557	2046
807	8568	2035
808	8578	2025
809	8588	2014
810	8599	2004
811	8610	1993
812	8620	1982
813	8630	1972
814	8641	1961
815	8652	1950
816	8662	1940
817	8672	1929
818	8683	1919
819	8693	1908
820	8704	1897
821	8714	1887
822	8724	1876
823	8734	1865
824	8745	1855
825	8756	1844
826	8766	1833
827	8777	1823
828	8787	1812
829	8796	1801
830	8807	1791
831	8818	1780
832	8829	1770
833	8839	1759
834	8850	1748
835	8860	1738
836	8871	1727
837	8882	1717
838	8893	1706
839	8903	1695
840	8914	1685
841	8924	1674
842	8935	1664
843	8945	1653
844	8955	1642
845	8965	1632
846	8975	1621
847	8986	1610
848	8996	1600
849	9007	1589
850	9018	1579
851	9028	1568
852	9038	1557
853	9049	1547
854	9059	1536
855	9070	1525
856	9080	1515
857	9091	1504
858	9101	1494
859	9112	1483
860	9122	1472
861	9132	1462
862	9143	1451
863	9153	1440
864	9164	1430
865	9175	1419
866	9185	1409
867	9196	1398
868	9206	1387
869	9216	1377
870	9227	1366
871	9237	1356
872	9248	1345
873	9259	1334
874	9269	1324
875	9280	1313
876	9291	1303
877	9301	1292
878	9312	1281
879	9323	1271
880	9334	1260
881	9345	1250
882	9355	1239
883	9366	1229
884	9376	1218
885	9386	1207
886	9396	1197
887	9407	1186
888	9417	1175
889	9428	1165
890	9438	1154
891	9448	1143
892	9458	1133
893	9468	1122
894	9478	1112
895	9489	1101
896	9500	1090
897	9511	1080
898	9522	1069
899	9533	1059
900	9543	1048
901	9554	1038
902	9564	1027
903	9575	1016
904	9586	1006
905	9597	995
906	9607	985
907	9618	974
908	9628	963
909	9639	953
910	9649	942
911	9660	932
912	9671	921
913	9682	911
914	9693	900
915	9704	889
916	9714	879
917	9724	868
918	9735	858
919	9746	847
920	9757	836
921	9768	826
922	9779	815
923	9789	805
924	9800	794
925	9810	784
